gender,genderLooking,age,counts_details,counts_pictures,counts_profileVisits,counts_fans,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,country,isFlirtstar,isHighlighted,isInfluencer,isMobile,isNew,isOnline,isVip,lang_count,lang_fr,lang_en,lang_de,lang_it,lang_es,lang_pt,verified,shareProfileEnabled,lastOnlineDate,lastOnlineTime,birthd,connectedToFacebook,countDetails,description,nbusers,percentwantchats,percentwantfriends,percentwantdates,meanvisitsreceived,meanfollowers,meanlanguagesknown,totalwantchants,totalwantfriends,totalwantdates,totalvisitsreceived,totalfollowers,totallanguagesspoken
0,1,25,1.0,15,18475,23,1,1,0,8,0,0,0,1,0,0,1,4,0,1,1,1,1,0,1,1,1429920000000000000,1429997449.0,0,0.0,1.0,1,356,60.1,62.4,44.4,2902.8,2.6,1.1,214,222,158,1033400,923,392
0,1,22,1.0,5,7045,0,1,0,1,10,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1429833600000000000,1429907087.0,0,0.0,1.0,1,720,59.9,60.6,40.3,3302.9,1.7,1.07,431,436,290,2378122,1201,771
0,1,25,0.77,4,52884,2,1,1,1,10,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1428278400000000000,1428335951.0,0,0.0,0.7699999809265137,1,356,60.1,62.4,44.4,2902.8,2.6,1.1,214,222,158,1033400,923,392
0,1,22,0.92,12,37740,41,1,0,1,8,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1430006400000000000,1430060567.0,0,0.0,0.9200000166893004,1,720,59.9,60.6,40.3,3302.9,1.7,1.07,431,436,290,2378122,1201,771
0,1,20,0.96,4,6730,2,0,1,0,8,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1430611200000000000,1430645024.0,0,0.0,0.959999978542328,1,524,67.6,64.9,37.2,4809.5,1.8,1.12,354,340,195,2520195,934,586
0,1,20,0.77,11,11120,0,1,1,0,10,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,1428019200000000000,1428088061.0,0,,,1,524,67.6,64.9,37.2,4809.5,1.8,1.12,354,340,195,2520195,934,586
0,1,24,0.58,4,18395,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1430006400000000000,1430044356.0,0,0.0,0.5799999833106995,1,534,61.0,61.4,39.7,3009.6,2.6,1.12,326,328,212,1607127,1378,599
0,1,24,0.9,6,6756,0,1,0,1,8,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1430006400000000000,1430046285.0,0,0.0,0.8999999761581421,1,534,61.0,61.4,39.7,3009.6,2.6,1.12,326,328,212,1607127,1378,599
0,1,21,0.88,4,10976,26,1,0,0,8,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1430006400000000000,1430048824.0,0,0.0,0.8799999952316284,1,603,64.0,63.0,35.7,4093.0,2.1,1.12,386,380,215,2468100,1239,678
0,1,21,1.0,13,2567,1,1,1,1,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1426896000000000000,1426967794.0,0,,,0,603,64.0,63.0,35.7,4093.0,2.1,1.12,386,380,215,2468100,1239,678
